alim_code	kcal	protein	glucid	lipid
30790	298.0	14.8	1.55	25.8
30791	297.0	16.4	0.7	25.4
30797	320.0	14.4	1.16	28.2
1030	242.0	29.7	4.13	11.1
1031	197.0	3.56	9.45	15.4
20337	231.0	14.6	5.69	16.3
20338	136.0	12.1	4.97	7.2
25232	250.0	29.1	7.53	10.5
25089	226.0	14.0	14.6	12.2
25163	217.0	18.5	5.65	13.3
25173	271.0	22.9	12.6	14.1
25186	260.0	14.4	7.78	18.6
25194	247.0	15.7	9.46	15.7
25504	195.0	18.6	0.8	13.0
25505	191.0	17.1	1.02	12.9
25506	208.0	19.7	1.02	13.8
25512	239.0	13.1	16.2	13.2
25541	112.0	12.6	2.54	5.1
25566	131.0	15.6	2.1	6.5
36027	250.0	15.6	19.4	11.6
36035	213.0	22.4	2.1	12.6
36036	339.0	7.25	21.7	24.0
36318	211.0	14.1	13.5	10.9
25996	205.0	23.0	0.0	12.5
25997	98.9	23.1	0.0	0.73
25998	162.0	18.1	0.0	9.9
26013	173.0	16.5	0.5	11.7
26037	178.0	22.0	0.91	9.49
26087	294.0	18.8	0.0	24.3
26090	97.0	22.6	0.0	0.73
26152	81.3	18.3	0.0	0.9
26232	168.0	15.1	2.0	11.0
26999	213.0	22.1	0.0	13.8
27029	180.0	23.4	0.69	9.27
10004	110.0	20.2	3.22	1.77
10006	89.9	18.3	1.47	1.2
10007	93.8	19.0	1.87	1.16
10009	90.9	19.6	0.11	1.32
10013	108.0	17.2	5.12	2.09
10020	97.7	20.7	2.69	0.47
10022	106.0	21.8	1.3	1.52
10025	124.0	19.5	1.79	4.29
10027	99.2	16.2	5.33	1.48
10031	73.5	16.3	0.56	0.7
10037	149.0	32.5	1.64	1.4
10043	104.0	18.9	3.06	1.76
10079	156.0	29.8	4.4	2.08
10080	79.5	13.5	2.83	1.57
10084	173.0	17.9	8.45	7.48
10099	80.0	16.6	0.23	1.4
10001	77.0	14.4	2.17	1.19
10003	83.0	17.0	0.78	1.31
10008	77.9	16.1	1.29	0.92
